Code,Klassifikator,Klassifikator_ru,Klassifikator_en,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,1.0,3.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,553.0,129.0,396.0,795.0,602.0,738.0,512.0,810.0,642.0,296.0,2.0,3.0,0.0,8.0
1710401,Qarshi  shahri,Город Карши,Karshi city,78.0,21.0,44.0,76.0,35.0,65.0,35.0,29.0,36.0,26.0,0.0,0.0,0.0,0.0
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,0.0,0.0,1.0
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710207,G‘uzor tumani,Гузарский район,Gissar district,12.0,2.0,19.0,17.0,14.0,21.0,18.0,19.0,19.0,11.0,0.0,1.0,0.0,0.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,10.0,3.0,6.0,6.0,11.0,13.0,13.0,15.0,16.0,8.0,0.0,0.0,0.0,1.0
1710220,Qamashi tumani,Камашинский район,Kamashi district,21.0,7.0,19.0,48.0,31.0,42.0,37.0,59.0,42.0,31.0,0.0,1.0,0.0,1.0
1710224,Qarshi tumani,Каршинский район,Karshi district,29.0,9.0,20.0,35.0,25.0,16.0,12.0,31.0,31.0,13.0,0.0,0.0,0.0,0.0
1710229,Koson tumani,Касанский район,Kasan district,70.0,13.0,50.0,76.0,74.0,68.0,54.0,73.0,77.0,38.0,0.0,0.0,0.0,0.0
1710232,Kitob tumani,Китабский район,Kitab district,106.0,15.0,54.0,136.0,96.0,123.0,98.0,165.0,115.0,36.0,0.0,0.0,0.0,0.0
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,16.0,7.0,23.0,21.0,19.0,23.0,12.0,11.0,22.0,13.0,1.0,1.0,0.0,1.0
1710234,Muborak tumani,Мубарекский район,Mubarek district,8.0,4.0,10.0,6.0,6.0,9.0,4.0,11.0,9.0,6.0,0.0,0.0,0.0,0.0
1710235,Nishon tumani,Нишанский  район,Nishon district,15.0,2.0,10.0,13.0,7.0,8.0,7.0,8.0,10.0,8.0,0.0,0.0,0.0,0.0
1710237,Kasbi tumani,Касбинский район,Kasbi district,29.0,3.0,27.0,32.0,18.0,27.0,22.0,24.0,21.0,8.0,0.0,0.0,0.0,3.0
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,75.0,19.0,48.0,226.0,160.0,204.0,148.0,274.0,151.0,55.0,1.0,0.0,0.0,0.0
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,69.0,18.0,41.0,67.0,66.0,70.0,30.0,56.0,40.0,12.0,0.0,0.0,0.0,1.0
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,15.0,6.0,25.0,36.0,40.0,49.0,22.0,35.0,27.0,15.0,0.0,0.0,0.0,0.0
1712,Navoiy viloyati,Навоийская область,Navoi region,195.0,157.0,157.0,104.0,89.0,66.0,28.0,32.0,35.0,16.0,1.0,6.0,3.0,5.0
1712401,Navoiy shahri,Город Навои,Navoi city,19.0,26.0,25.0,19.0,8.0,10.0,5.0,3.0,6.0,3.0,0.0,1.0,0.0,1.0
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,22.0,15.0,15.0,6.0,5.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1712211,Konimex tumani,Канимехский  район,Kanimekh district,10.0,4.0,6.0,8.0,10.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,31.0,19.0,19.0,13.0,11.0,10.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,29.0,23.0,13.0,13.0,13.0,4.0,5.0,5.0,5.0,2.0,0.0,3.0,1.0,0.0
1712234,Karmana tumani,Карманинский район,Karmana district,45.0,31.0,35.0,20.0,16.0,11.0,3.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0
1712238,Nurota tumani,Нуратинский район,Nurota district,10.0,12.0,8.0,6.0,8.0,6.0,6.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0
1712244,Tomdi tumani,Тамдынский район,Tomdy district,4.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,11.0,7.0,11.0,6.0,6.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,14.0,18.0,24.0,11.0,9.0,11.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0
1714,Namangan viloyati,Наманганская область,Namangan region,1097.0,1073.0,826.0,682.0,486.0,427.0,115.0,214.0,261.0,292.0,3.0,4.0,1.0,1.0
1714401,Namangan shahri,Город Наманган,Namangan city,626.0,614.0,525.0,368.0,302.0,276.0,69.0,138.0,172.0,198.0,1.0,1.0,0.0,1.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,6.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,150.0,162.0,109.0,116.0,71.0,52.0,9.0,29.0,37.0,34.0,0.0,0.0,0.0,0.0
1714212,Namangan tumani,Наманганский район,Namangan district,115.0,99.0,56.0,55.0,34.0,33.0,3.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0
1714216,Norin tumani,Нарынский район,Naryn district,9.0,10.0,3.0,3.0,0.0,1.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
1714219,Pop tumani,Папский район,Pop district,20.0,41.0,31.0,34.0,28.0,20.0,10.0,9.0,15.0,11.0,0.0,1.0,0.0,0.0
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,30.0,15.0,9.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
1714229,Uychi tumani,Уйчинский район,Uychi district,45.0,47.0,32.0,42.0,22.0,21.0,7.0,11.0,15.0,8.0,0.0,0.0,0.0,0.0
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,17.0,13.0,8.0,7.0,5.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0
1714236,Chortoq tumani,Чартакский район,Chartak district,21.0,21.0,15.0,18.0,7.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
1714237,Chust tumani,Чустский район,Chust district,25.0,16.0,23.0,20.0,6.0,7.0,3.0,2.0,6.0,3.0,0.0,0.0,1.0,0.0
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,33.0,31.0,10.0,18.0,8.0,7.0,5.0,10.0,8.0,11.0,2.0,1.0,0.0,0.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,1405.0,1096.0,1846.0,1193.0,1323.0,1414.0,1368.0,1564.0,1742.0,953.0,11.0,9.0,5.0,7.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,187.0,239.0,357.0,240.0,242.0,267.0,221.0,238.0,284.0,176.0,1.0,2.0,0.0,0.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,65.0,50.0,59.0,75.0,50.0,45.0,41.0,34.0,50.0,38.0,0.0,0.0,0.0,0.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,39.0,32.0,56.0,33.0,33.0,51.0,37.0,49.0,58.0,32.0,0.0,0.0,0.0,0.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,27.0,21.0,40.0,17.0,23.0,26.0,20.0,24.0,30.0,16.0,1.0,2.0,2.0,0.0
1718209,Jomboy tumani,Джамбайский район,Jomboy district,36.0,36.0,47.0,54.0,30.0,47.0,42.0,33.0,44.0,22.0,0.0,1.0,0.0,0.0
