Names,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Category
Tashkent district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,1.0,0.0,1.0,0.0,District
Fergana region,1450.0,1406.0,1035.0,935.0,668.0,648.0,243.0,266.0,355.0,235.0,1.0,5.0,1.0,3.0,Region
Fergana city,68.0,71.0,31.0,24.0,8.0,13.0,6.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,City
Kokand city,341.0,317.0,225.0,251.0,180.0,117.0,62.0,68.0,68.0,28.0,0.0,0.0,0.0,1.0,City
Kuvasay city,22.0,16.0,9.0,7.0,2.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,City
Margilan city,256.0,241.0,183.0,155.0,96.0,103.0,26.0,46.0,74.0,59.0,0.0,0.0,0.0,0.0,City
Altyaryk district,34.0,27.0,14.0,10.0,5.0,2.0,2.0,9.0,5.0,8.0,0.0,0.0,0.0,0.0,District
Kushtepa district,38.0,51.0,27.0,16.0,10.0,20.0,5.0,10.0,6.0,8.0,0.0,1.0,0.0,0.0,District
Baghdad district,74.0,48.0,40.0,34.0,25.0,28.0,13.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,District
Buvayda district,109.0,102.0,112.0,80.0,84.0,114.0,8.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,District
Besharik district,19.0,20.0,22.0,15.0,6.0,10.0,12.0,15.0,9.0,9.0,0.0,0.0,0.0,0.0,District
Kuva district,37.0,30.0,27.0,19.0,5.0,17.0,5.0,4.0,13.0,10.0,0.0,0.0,0.0,0.0,District
Uchkuprik district,46.0,68.0,32.0,22.0,25.0,28.0,14.0,15.0,27.0,16.0,0.0,0.0,0.0,0.0,District
Rishtan district,44.0,42.0,11.0,12.0,9.0,12.0,8.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,District
Sokh district,43.0,102.0,99.0,98.0,74.0,64.0,28.0,35.0,33.0,16.0,0.0,0.0,0.0,1.0,District
Tashlak district,81.0,67.0,37.0,36.0,29.0,24.0,5.0,9.0,9.0,11.0,1.0,0.0,0.0,0.0,District
Uzbekistan district,60.0,55.0,46.0,33.0,26.0,10.0,5.0,2.0,16.0,14.0,0.0,0.0,1.0,0.0,District
Fergana district,54.0,42.0,30.0,27.0,24.0,24.0,6.0,4.0,11.0,8.0,0.0,0.0,0.0,0.0,District
Dangara district,51.0,59.0,46.0,45.0,24.0,31.0,27.0,16.0,21.0,6.0,0.0,1.0,0.0,0.0,District
Furkat district,23.0,13.0,11.0,8.0,10.0,11.0,4.0,7.0,5.0,3.0,0.0,1.0,0.0,1.0,District
Yazyavan district,50.0,35.0,33.0,43.0,26.0,19.0,5.0,12.0,20.0,17.0,0.0,1.0,0.0,0.0,District
Khorezm region,165.0,246.0,270.0,200.0,130.0,108.0,84.0,79.0,108.0,47.0,3.0,4.0,2.0,2.0,Region
Urgench city,9.0,23.0,19.0,15.0,13.0,9.0,11.0,7.0,6.0,5.0,0.0,1.0,0.0,0.0,City
Khiva city,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,City
Bagat district,14.0,34.0,54.0,26.0,3.0,10.0,1.0,3.0,12.0,6.0,0.0,0.0,0.0,0.0,District
Gurlan district,8.0,9.0,9.0,12.0,4.0,5.0,6.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,District
Kushkupyr district,12.0,27.0,26.0,20.0,10.0,6.0,2.0,7.0,5.0,3.0,1.0,0.0,0.0,0.0,District
Urgench district,21.0,22.0,27.0,15.0,12.0,2.0,3.0,8.0,8.0,3.0,0.0,0.0,1.0,1.0,District
Khazarasp district,41.0,55.0,63.0,47.0,34.0,44.0,36.0,35.0,43.0,19.0,0.0,0.0,0.0,0.0,District
Tuprakkala district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,District
Khanka district,10.0,10.0,8.0,4.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,District
Khiva district,28.0,37.0,40.0,32.0,29.0,20.0,17.0,9.0,9.0,3.0,1.0,0.0,1.0,1.0,District
Shavat district,7.0,15.0,12.0,16.0,8.0,6.0,2.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,District
Yangiaryk district,10.0,10.0,6.0,8.0,8.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,0.0,0.0,District
Yangibazar district,5.0,4.0,6.0,5.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,District
Tashkent city,140.0,416.0,444.0,312.0,283.0,283.0,204.0,179.0,208.0,192.0,4.0,3.0,3.0,3.0,City
Uchtepa district,13.0,24.0,33.0,25.0,29.0,39.0,31.0,27.0,31.0,32.0,0.0,0.0,0.0,0.0,District
Bektemir district,9.0,6.0,7.0,5.0,3.0,4.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,District
